질병명,진료과,증상,관련질환,동의어,부위,인덱싱문장
방광질 누공(Vesicovaginal fistula),비뇨의학과,"질에서 소변이 나옴,배뇨 시 통증","방광암,방광소장 누공,난산,자궁경부암",방광질루,배,"방광질 누공(Vesicovaginal fistula)은(는) 비뇨의학과에서 주로 진료하며, 증상은 질에서 소변이 나옴,배뇨 시 통증이(가) 있다. 관련된 질환으로는 방광암,방광소장 누공,난산,자궁경부암이(가) 있으며, 같은 이름으로는 방광질루과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
배꼽염(Omphalitis),"어린이병원,신생아과","악취,배꼽의 고름 및 피,발적",샅(서혜)육아종,"배꼽염,배꼽염증,제대염,제염",배,"배꼽염(Omphalitis)은(는) 어린이병원,신생아과에서 주로 진료하며, 증상은 악취,배꼽의 고름 및 피,발적이(가) 있다. 관련된 질환으로는 샅(서혜)육아종이(가) 있으며, 같은 이름으로는 배꼽염,배꼽염증,제대염,제염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
배뇨통(Dysuria),비뇨의학과,"야간뇨,긴박뇨,배뇨 시 통증,배뇨장애,잔뇨감,빈뇨","방광암,급성 방광염,자궁경부암,다발성 경화증,완전 척수 손상,척수수막류,방광질 누공,임균성 요도염,비임균성 요도염,고환염,방광요관 역류,방광의 신경근육 기능 장애,방광소장 누공,부고환염",배뇨곤란,배,"배뇨통(Dysuria)은(는) 비뇨의학과에서 주로 진료하며, 증상은 야간뇨,긴박뇨,배뇨 시 통증,배뇨장애,잔뇨감,빈뇨이(가) 있다. 관련된 질환으로는 방광암,급성 방광염,자궁경부암,다발성 경화증,완전 척수 손상,척수수막류,방광질 누공,임균성 요도염,비임균성 요도염,고환염,방광요관 역류,방광의 신경근육 기능 장애,방광소장 누공,부고환염이(가) 있으며, 같은 이름으로는 배뇨곤란과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
버드 키아리 신드롬(Budd-Chiari syndrome),소화기내과,"문맥성고혈압,복부 통증,간비대,복수",간경화,"Chiari-Budd syndrome,버드증후군,키아리-버드 증후군,키아리증후군,버드-키아리 증후군",배,"버드 키아리 신드롬(Budd-Chiari syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 문맥성고혈압,복부 통증,간비대,복수이(가) 있다. 관련된 질환으로는 간경화이(가) 있으며, 같은 이름으로는 Chiari-Budd syndrome,버드증후군,키아리-버드 증후군,키아리증후군,버드-키아리 증후군과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
변비(Constipation),"소아소화기영양과,노년내과,소화기내과","항문출혈,복부팽만감,복부 통증,잔변감,항문 통증","대장암,위장관 기질 종양,직장암,고칼슘혈증,장폐색,치핵,뇌하수체 기능부전",동의어가 없다',배,"변비(Constipation)은(는) 소아소화기영양과,노년내과,소화기내과에서 주로 진료하며, 증상은 항문출혈,복부팽만감,복부 통증,잔변감,항문 통증이(가) 있다. 관련된 질환으로는 대장암,위장관 기질 종양,직장암,고칼슘혈증,장폐색,치핵,뇌하수체 기능부전이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복강 내 출혈(Intraperitoneal Bleeding),,"복부 통증,빈맥,저체온,저혈압,어지러움,창백","복부 대동맥류,자궁 외 임신",복강출혈,배,"복강 내 출혈(Intraperitoneal Bleeding)은(는) <진료과>에서 주로 진료하며, 증상은 복부 통증,빈맥,저체온,저혈압,어지러움,창백이(가) 있다. 관련된 질환으로는 복부 대동맥류,자궁 외 임신이(가) 있으며, 같은 이름으로는 복강출혈과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복막 가성점액종(Pseudomyxoma Peritonei),"종양내과,대장항문외과,산부인과",질병명과 같은 증상,"난소암,충수암,난소의 양성 종양","복막 위 점액종,전이성 점액성 선암종",배,"복막 가성점액종(Pseudomyxoma Peritonei)은(는) 종양내과,대장항문외과,산부인과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 난소암,충수암,난소의 양성 종양이(가) 있으며, 같은 이름으로는 복막 위 점액종,전이성 점액성 선암종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복막염(Peritonitis),소화기내과,"복부 통증,열,빈맥,호흡곤란,복부팽만감,구토,복부경련,저혈압","위궤양,급성 담낭염,급성 충수염,간농양,췌장염,십이지장 궤양,간경화",복막염증,배,"복막염(Peritonitis)은(는) 소화기내과에서 주로 진료하며, 증상은 복부 통증,열,빈맥,호흡곤란,복부팽만감,구토,복부경련,저혈압이(가) 있다. 관련된 질환으로는 위궤양,급성 담낭염,급성 충수염,간농양,췌장염,십이지장 궤양,간경화이(가) 있으며, 같은 이름으로는 복막염증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복부 대동맥류(Abdominal aortic Aneurysm),"혈관외과,심장혈관흉부외과","복부의 박동감,복부 통증,쇼크,복부팽만감,요통","고혈압,흉부 대동맥류,죽상경화증",복부동맥류,배,"복부 대동맥류(Abdominal aortic Aneurysm)은(는) 혈관외과,심장혈관흉부외과에서 주로 진료하며, 증상은 복부의 박동감,복부 통증,쇼크,복부팽만감,요통이(가) 있다. 관련된 질환으로는 고혈압,흉부 대동맥류,죽상경화증이(가) 있으며, 같은 이름으로는 복부동맥류과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복부 통증(Abdominal Pain),노년내과,질병명과 같은 증상,"대동맥 박리,충수암,담관암,대장암,담낭암,간세포성 암종,췌장암,직장암,위암,간 전이,담석,바터 팽대부 암,전격성 간염,간내 담석,신세포암종,방광암,신우요관암,위염,급성 췌장염,만성 췌장염,맹장염,부신암,위궤양,십이지장 궤양,췌장염,진행성 위암,총담관 담석,조기 위암,소장암,대장 용종,궤양성 대장염,대장의 양성 종양,헤노호 쉰라인 자반증,자궁경부암,자궁내막암,난소암,자궁 상피 내 암종,췌장 전이암,전이성 신장암,신우요관암의 전이,요관 결석,대장균 감염,융모막암종,자궁 외 임신,급성 충수염,버드 키아리 신드롬,대장염,장폐색,장유착,항문 및 직장의 궤양,반티 증후군,셀리악병,위용종,복부 대동맥류,흉부 대동맥류,요로결석,장염전,식중독,대동맥류","배아픔,배앓이,배탈,복통,산통",배,"복부 통증(Abdominal Pain)은(는) 노년내과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 대동맥 박리,충수암,담관암,대장암,담낭암,간세포성 암종,췌장암,직장암,위암,간 전이,담석,바터 팽대부 암,전격성 간염,간내 담석,신세포암종,방광암,신우요관암,위염,급성 췌장염,만성 췌장염,맹장염,부신암,위궤양,십이지장 궤양,췌장염,진행성 위암,총담관 담석,조기 위암,소장암,대장 용종,궤양성 대장염,대장의 양성 종양,헤노호 쉰라인 자반증,자궁경부암,자궁내막암,난소암,자궁 상피 내 암종,췌장 전이암,전이성 신장암,신우요관암의 전이,요관 결석,대장균 감염,융모막암종,자궁 외 임신,급성 충수염,버드 키아리 신드롬,대장염,장폐색,장유착,항문 및 직장의 궤양,반티 증후군,셀리악병,위용종,복부 대동맥류,흉부 대동맥류,요로결석,장염전,식중독,대동맥류이(가) 있으며, 같은 이름으로는 배아픔,배앓이,배탈,복통,산통과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
복수(Ascites),소화기내과,"전신 부종,탈장,소변량 감소,호흡곤란,체중증가,경정맥 확장","문맥색전증,간디스토마,미세변화 신증후군,독성 간염,간염,알코올성 간질환,신생아 답즙정체증,간경화,간 전이,간세포성 암종",동의어가 없다',배,"복수(Ascites)은(는) 소화기내과에서 주로 진료하며, 증상은 전신 부종,탈장,소변량 감소,호흡곤란,체중증가,경정맥 확장이(가) 있다. 관련된 질환으로는 문맥색전증,간디스토마,미세변화 신증후군,독성 간염,간염,알코올성 간질환,신생아 답즙정체증,간경화,간 전이,간세포성 암종이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
부신 기능부전(Adrenal insufficiency),"내분비내과,신생아과,소아내분비대사과","구토,식욕부진,권태감,피로감,체중감소,저혈당,의식 저하,색소 침착,오심,복부 통증,열,체모감소,저혈압","곰팡이 감염,뇌하수체 기능부전,뇌하수체 양성 및 악성 신생물,쿠싱 증후군,부신 종양,자가면역 질환,뇌하수체 기능 항진,부신백질이영양증,선천성 부신과다 형성증,결핵,부신암","부신기능부전증,부신피질기능부전,부신피질기능저하증,애디슨병,에디슨병,부신기능저하증",배,"부신 기능부전(Adrenal insufficiency)은(는) 내분비내과,신생아과,소아내분비대사과에서 주로 진료하며, 증상은 구토,식욕부진,권태감,피로감,체중감소,저혈당,의식 저하,색소 침착,오심,복부 통증,열,체모감소,저혈압이(가) 있다. 관련된 질환으로는 곰팡이 감염,뇌하수체 기능부전,뇌하수체 양성 및 악성 신생물,쿠싱 증후군,부신 종양,자가면역 질환,뇌하수체 기능 항진,부신백질이영양증,선천성 부신과다 형성증,결핵,부신암이(가) 있으며, 같은 이름으로는 부신기능부전증,부신피질기능부전,부신피질기능저하증,애디슨병,에디슨병,부신기능저하증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
부신 종양(Adrenal tumor),"비뇨의학과,내분비내과","남성의 여성형 유방,기운없음,발한,체중감소,당뇨,가슴 두근거림,남성스러운 목소리,복부 통증,얼굴에 털이 자람,근력 약화,고혈압,유방의 과다 성장","당뇨병,부신 기능부전,쿠싱 증후군,부신암,심계항진","Adrenal gland tumor,부신선종,부신양성종양,부신종,부신피질 세포 양성 신생물",배,"부신 종양(Adrenal tumor)은(는) 비뇨의학과,내분비내과에서 주로 진료하며, 증상은 남성의 여성형 유방,기운없음,발한,체중감소,당뇨,가슴 두근거림,남성스러운 목소리,복부 통증,얼굴에 털이 자람,근력 약화,고혈압,유방의 과다 성장이(가) 있다. 관련된 질환으로는 당뇨병,부신 기능부전,쿠싱 증후군,부신암,심계항진이(가) 있으며, 같은 이름으로는 Adrenal gland tumor,부신선종,부신양성종양,부신종,부신피질 세포 양성 신생물과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
부신암(Adrenal gland cancer),"종양내과,내분비내과","여드름,복부 불편감,복부팽만감,성기능 장애,전신 부종,달모양의 둥근 얼굴,식욕부진,생리불순,당뇨,빈혈,근위축,체중감소,복부비만,고혈압","부신 종양,신세포암종,부신 기능부전",부신악성종양,배,"부신암(Adrenal gland cancer)은(는) 종양내과,내분비내과에서 주로 진료하며, 증상은 여드름,복부 불편감,복부팽만감,성기능 장애,전신 부종,달모양의 둥근 얼굴,식욕부진,생리불순,당뇨,빈혈,근위축,체중감소,복부비만,고혈압이(가) 있다. 관련된 질환으로는 부신 종양,신세포암종,부신 기능부전이(가) 있으며, 같은 이름으로는 부신악성종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
분만 후 출혈(Postpartum hemorrhage),산부인과,"발한,어지러움,혼돈,비정상적 질출혈,빈맥","다태아,자궁내막암,전치 태반",산후출혈,배,"분만 후 출혈(Postpartum hemorrhage)은(는) 산부인과에서 주로 진료하며, 증상은 발한,어지러움,혼돈,비정상적 질출혈,빈맥이(가) 있다. 관련된 질환으로는 다태아,자궁내막암,전치 태반이(가) 있으며, 같은 이름으로는 산후출혈과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
비만(Obesity),"가정의학과,소아소화기영양과,성형외과,스포츠건강의학센터,소아내분비대사과","관절통,수면 무호흡,호흡곤란,고혈압,불임,관절염,심혈관계 증상","당뇨망막병증,수면 무호흡증,간내 담석,골관절염,인슐린 의존성 당뇨병,인슐린 비의존성 당뇨병,여성 불임,고혈압,우울증,지방간,다낭성 난소 증후군,대사 증후군","내장지방형비만,복부비만,체지방 과잉",배,"비만(Obesity)은(는) 가정의학과,소아소화기영양과,성형외과,스포츠건강의학센터,소아내분비대사과에서 주로 진료하며, 증상은 관절통,수면 무호흡,호흡곤란,고혈압,불임,관절염,심혈관계 증상이(가) 있다. 관련된 질환으로는 당뇨망막병증,수면 무호흡증,간내 담석,골관절염,인슐린 의존성 당뇨병,인슐린 비의존성 당뇨병,여성 불임,고혈압,우울증,지방간,다낭성 난소 증후군,대사 증후군이(가) 있으며, 같은 이름으로는 내장지방형비만,복부비만,체지방 과잉과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
비장암(Spleen Cancer),"간담도췌외과,종양내과,신ㆍ췌장이식외과","열,비정상적 질출혈",진행성 위암,동의어가 없다',배,"비장암(Spleen Cancer)은(는) 간담도췌외과,종양내과,신ㆍ췌장이식외과에서 주로 진료하며, 증상은 열,비정상적 질출혈이(가) 있다. 관련된 질환으로는 진행성 위암이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
사구체신염(Glomerulonephritis),"신장내과,소아신장과","단백뇨,혈뇨,전신 부종","미세변화 신증후군,신증후군","급성사구체신염,만성사구체신염,신염,신장염",배,"사구체신염(Glomerulonephritis)은(는) 신장내과,소아신장과에서 주로 진료하며, 증상은 단백뇨,혈뇨,전신 부종이(가) 있다. 관련된 질환으로는 미세변화 신증후군,신증후군이(가) 있으며, 같은 이름으로는 급성사구체신염,만성사구체신염,신염,신장염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma),"종양내과,방사선종양학과,소아청소년종양혈액과","뇌압상승증상,두통,구토,덩어리가 만져짐,배뇨장애,변비,오심,감기 증상,경련,배뇨 시 통증","만성 B형 간염,만성 C형 간염,급성 C형 간염,융모막암종,급성 B형 간염,난소암","Germ cell tumor,생식세포종,생식세포종양",배,"생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma)은(는) 종양내과,방사선종양학과,소아청소년종양혈액과에서 주로 진료하며, 증상은 뇌압상승증상,두통,구토,덩어리가 만져짐,배뇨장애,변비,오심,감기 증상,경련,배뇨 시 통증이(가) 있다. 관련된 질환으로는 만성 B형 간염,만성 C형 간염,급성 C형 간염,융모막암종,급성 B형 간염,난소암이(가) 있으며, 같은 이름으로는 Germ cell tumor,생식세포종,생식세포종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
석회화 담낭(Porcelain GB),소화기내과,"오심,복부 통증,무증상,구토","급성 담낭염,담석,담낭 용종,담낭암,만성 담낭염,담낭 선근종증","석회화된 만성 담낭염,자기양 담낭",배,"석회화 담낭(Porcelain GB)은(는) 소화기내과에서 주로 진료하며, 증상은 오심,복부 통증,무증상,구토이(가) 있다. 관련된 질환으로는 급성 담낭염,담석,담낭 용종,담낭암,만성 담낭염,담낭 선근종증이(가) 있으며, 같은 이름으로는 석회화된 만성 담낭염,자기양 담낭과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
선모충증(Trichinellosis),감염내과,"열,설사,근육통,무증상,복부 통증,말초 신경장애,구토,호흡곤란","원충성 질환,요충증,스파르가눔증",선모충병,배,"선모충증(Trichinellosis)은(는) 감염내과에서 주로 진료하며, 증상은 열,설사,근육통,무증상,복부 통증,말초 신경장애,구토,호흡곤란이(가) 있다. 관련된 질환으로는 원충성 질환,요충증,스파르가눔증이(가) 있으며, 같은 이름으로는 선모충병과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
선천성 거대결장증(Hirschsprung disease),소아외과,"저체중,변비,구토,복부팽만감,탈수","신생아 괴사성 장염,변비,패혈증","Congenital aganglionic,megacolon,히르쉬스프룽병",배,"선천성 거대결장증(Hirschsprung disease)은(는) 소아외과에서 주로 진료하며, 증상은 저체중,변비,구토,복부팽만감,탈수이(가) 있다. 관련된 질환으로는 신생아 괴사성 장염,변비,패혈증이(가) 있으며, 같은 이름으로는 Congenital aganglionic,megacolon,히르쉬스프룽병과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts),"소아외과,소화기내과,소아소화기영양과","진한 소변색,흑색변,비장비대,황달,회색변,간비대,복수","헤르페스 바이러스 감염,신생아 황달,식도 정맥류,핵황달,간경화","담도폐쇄증,담관폐쇄증",배,"선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts)은(는) 소아외과,소화기내과,소아소화기영양과에서 주로 진료하며, 증상은 진한 소변색,흑색변,비장비대,황달,회색변,간비대,복수이(가) 있다. 관련된 질환으로는 헤르페스 바이러스 감염,신생아 황달,식도 정맥류,핵황달,간경화이(가) 있으며, 같은 이름으로는 담도폐쇄증,담관폐쇄증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
"선천성 소장 결손, 폐쇄 및 협착(Congenital absence, atresia and stenosis of intestine)","소아외과,산부인과","복부팽만감,초록색 구토","신생아 괴사성 장염,영아 비대성 유문협착증","선천성 소장 결손,선천성 소장 폐쇄,선천성 소장 협착",배,"선천성 소장 결손, 폐쇄 및 협착(Congenital absence, atresia and stenosis of intestine)은(는) 소아외과,산부인과에서 주로 진료하며, 증상은 복부팽만감,초록색 구토이(가) 있다. 관련된 질환으로는 신생아 괴사성 장염,영아 비대성 유문협착증이(가) 있으며, 같은 이름으로는 선천성 소장 결손,선천성 소장 폐쇄,선천성 소장 협착과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
